CookerStat, GenerateAssetRegistry=0.021715, Initialize=0.126354, RunGuid=RunIDBB4DBEAB46AA466235D9BFB9A83A81D8
SavePackageTransactionId35DF783A4D17CA470B8535B56A347324_0, Filename=../../../../../../GitHub/ProjectWhiteRabbit/Content/Maps/Design.umap, AutoPackageBackupDelegate=0.182144, FlushAsyncLoading=0.004824, FlushStreamingFunc=0.132088, BlockTillAllRequestsFinished=0.018999, ResetLoadersForSaveUnMarkAllObjects=0.212301, TagPackageExports=0.069357, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.953250, GatherLocalizableTextData=0.544023, MarkNames=0.009954, SerializeSummary=0.014775, SerializeNames=0.058807, SerializeGatherableTextData=0.001807, BuildExportMap=0.027142, SortExportsNonSeekfree=0.016585, SortExportsSeekfreeConstructor=0.062726, SortExportsSeekfreeInner=3.888689, SortExportsSeekfree=0.003014, BuildDependencyMap=0.013571, SerializeImportMap=0.008445, SerializeExportMap=0.005729, SerializeDependencyMap=0.001509, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.299457, SerializeExports=0.433348, SerializeBulkData=0.012666, MoveFile=3.113966, UnaccountedTime=0.130273, RunGuid=RunIDBB4DBEAB46AA466235D9BFB9A83A81D8
SavePackageTransactionId35DF783A4D17CA470B8535B56A347324_1, Filename=../../../../../../GitHub/ProjectWhiteRabbit/Content/Maps/World.umap, AutoPackageBackupDelegate=0.157118, FlushAsyncLoading=0.003316, FlushStreamingFunc=0.108264, BlockTillAllRequestsFinished=0.017490, ResetLoadersForSaveUnMarkAllObjects=0.222556, TagPackageExports=0.071470, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.709884, GatherLocalizableTextData=0.577498, MarkNames=0.011761, SerializeSummary=0.012062, SerializeNames=0.081725, SerializeGatherableTextData=0.002112, BuildExportMap=0.035584, SortExportsNonSeekfree=0.025634, SortExportsSeekfreeConstructor=0.076596, SortExportsSeekfreeInner=3.755398, SortExportsSeekfree=0.004523, BuildDependencyMap=0.012666, SerializeImportMap=0.006333, SerializeExportMap=0.005130, SerializeDependencyMap=0.001509, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.322372, SerializeExports=0.417668, SerializeBulkData=0.005126, MoveFile=3.229465, UnaccountedTime=0.130881, RunGuid=RunIDBB4DBEAB46AA466235D9BFB9A83A81D8
SavePackageTransactionId35DF783A4D17CA470B8535B56A347324_2, Filename=../../../../../../GitHub/ProjectWhiteRabbit/Content/Maps/Chucks_Work_Bench.umap, AutoPackageBackupDelegate=0.157118, FlushAsyncLoading=0.003316, FlushStreamingFunc=0.106756, BlockTillAllRequestsFinished=0.005428, ResetLoadersForSaveUnMarkAllObjects=0.199035, TagPackageExports=0.070564, BeginCacheForCookedPlatformData=0.001810, SerializeImports=0.936061, GatherLocalizableTextData=0.539199, MarkNames=0.008442, SerializeSummary=0.011463, SerializeNames=0.053678, SerializeGatherableTextData=0.001207, BuildExportMap=0.024728, SortExportsNonSeekfree=0.016585, SortExportsSeekfreeConstructor=0.055790, SortExportsSeekfreeInner=3.689353, SortExportsSeekfree=0.002414, BuildDependencyMap=0.010855, SerializeImportMap=0.006031, SerializeExportMap=0.005428, SerializeDependencyMap=0.001203, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.322074, SerializeExports=0.409525, SerializeBulkData=0.004824, MoveFile=3.341649, UnaccountedTime=0.118818, RunGuid=RunIDBB4DBEAB46AA466235D9BFB9A83A81D8
SavePackageTransactionId35DF783A4D17CA470B8535B56A347324_3, Filename=../../../../../../GitHub/ProjectWhiteRabbit/Content/Maps/Chris_Work_Bench.umap, AutoPackageBackupDelegate=0.163145, FlushAsyncLoading=0.003617, FlushStreamingFunc=0.067253, BlockTillAllRequestsFinished=0.003316, ResetLoadersForSaveUnMarkAllObjects=0.152893, TagPackageExports=0.072677, BeginCacheForCookedPlatformData=0.001810, SerializeImports=0.653792, GatherLocalizableTextData=0.505727, MarkNames=0.007838, SerializeSummary=0.010557, SerializeNames=0.051867, SerializeGatherableTextData=0.001207, BuildExportMap=0.023521, SortExportsNonSeekfree=0.016287, SortExportsSeekfreeConstructor=0.052169, SortExportsSeekfreeInner=3.824756, SortExportsSeekfree=0.004828, BuildDependencyMap=0.012666, SerializeImportMap=0.006031, SerializeExportMap=0.005130, SerializeDependencyMap=0.001509, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.327498, SerializeExports=0.388719, SerializeBulkData=0.004523, MoveFile=3.134470, UnaccountedTime=0.101931, RunGuid=RunIDBB4DBEAB46AA466235D9BFB9A83A81D8
SavePackageTransactionId35DF783A4D17CA470B8535B56A347324_4, Filename=../../../../../../GitHub/ProjectWhiteRabbit/Content/Maps/Design.umap, AutoPackageBackupDelegate=1.809996, FlushAsyncLoading=0.004824, FlushStreamingFunc=0.071771, BlockTillAllRequestsFinished=0.006635, ResetLoadersForSaveUnMarkAllObjects=0.159830, TagPackageExports=0.066951, BeginCacheForCookedPlatformData=0.001505, SerializeImports=0.587754, GatherLocalizableTextData=0.555784, MarkNames=0.008747, SerializeSummary=0.012968, SerializeNames=0.054885, SerializeGatherableTextData=0.001203, BuildExportMap=0.024430, SortExportsNonSeekfree=0.015680, SortExportsSeekfreeConstructor=0.054281, SortExportsSeekfreeInner=3.716193, SortExportsSeekfree=0.004523, BuildDependencyMap=0.012968, SerializeImportMap=0.006635, SerializeExportMap=0.005428, SerializeDependencyMap=0.001203, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.336248, SerializeExports=0.405002, SerializeBulkData=0.005126, MoveFile=3.258415, UnaccountedTime=0.098310, RunGuid=RunIDBB4DBEAB46AA466235D9BFB9A83A81D8
SavePackageTransactionId35DF783A4D17CA470B8535B56A347324_5, Filename=../../../../../../GitHub/ProjectWhiteRabbit/Content/Maps/World.umap, AutoPackageBackupDelegate=1.649261, FlushAsyncLoading=0.004526, FlushStreamingFunc=0.118211, BlockTillAllRequestsFinished=0.004828, ResetLoadersForSaveUnMarkAllObjects=0.130273, TagPackageExports=0.065140, BeginCacheForCookedPlatformData=0.001207, SerializeImports=0.607654, GatherLocalizableTextData=0.530753, MarkNames=0.008445, SerializeSummary=0.011459, SerializeNames=0.051267, SerializeGatherableTextData=0.001505, BuildExportMap=0.024427, SortExportsNonSeekfree=0.023525, SortExportsSeekfreeConstructor=0.074182, SortExportsSeekfreeInner=3.687546, SortExportsSeekfree=0.003621, BuildDependencyMap=0.012361, SerializeImportMap=0.006031, SerializeExportMap=0.005428, SerializeDependencyMap=0.001509, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.358861, SerializeExports=0.446014, SerializeBulkData=0.004224, MoveFile=3.581695, UnaccountedTime=0.166163, RunGuid=RunIDBB4DBEAB46AA466235D9BFB9A83A81D8
SavePackageTransactionId35DF783A4D17CA470B8535B56A347324_6, Filename=../../../../../../GitHub/ProjectWhiteRabbit/Content/Maps/Design.umap, AutoPackageBackupDelegate=0.696920, FlushAsyncLoading=0.003316, FlushStreamingFunc=0.080217, BlockTillAllRequestsFinished=0.004221, ResetLoadersForSaveUnMarkAllObjects=0.130881, TagPackageExports=0.088058, BeginCacheForCookedPlatformData=0.001505, SerializeImports=0.759646, GatherLocalizableTextData=0.667062, MarkNames=0.011459, SerializeSummary=0.012364, SerializeNames=0.064537, SerializeGatherableTextData=0.001509, BuildExportMap=0.036489, SortExportsNonSeekfree=0.016887, SortExportsSeekfreeConstructor=0.061821, SortExportsSeekfreeInner=4.919138, SortExportsSeekfree=0.003617, BuildDependencyMap=0.015985, SerializeImportMap=0.007540, SerializeExportMap=0.005729, SerializeDependencyMap=0.001207, SerializeStringAssetReferenceMap=0.001505, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.376355, SerializeExports=0.450239, SerializeBulkData=0.005126, MoveFile=3.483988, UnaccountedTime=2.518371, RunGuid=RunIDBB4DBEAB46AA466235D9BFB9A83A81D8
SavePackageTransactionId35DF783A4D17CA470B8535B56A347324_7, Filename=../../../../../../GitHub/ProjectWhiteRabbit/Content/Maps/World.umap, AutoPackageBackupDelegate=0.560910, FlushAsyncLoading=0.002716, FlushStreamingFunc=0.108864, BlockTillAllRequestsFinished=0.017490, ResetLoadersForSaveUnMarkAllObjects=0.121232, TagPackageExports=0.084437, BeginCacheForCookedPlatformData=0.001810, SerializeImports=0.699934, GatherLocalizableTextData=0.650477, MarkNames=0.010252, SerializeSummary=0.010859, SerializeNames=0.059105, SerializeGatherableTextData=0.001509, BuildExportMap=0.034075, SortExportsNonSeekfree=0.015985, SortExportsSeekfreeConstructor=0.050962, SortExportsSeekfreeInner=4.616369, SortExportsSeekfree=0.003919, BuildDependencyMap=0.014778, SerializeImportMap=0.007238, SerializeExportMap=0.005428, SerializeDependencyMap=0.001505, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.330817, SerializeExports=0.435762, SerializeBulkData=0.004224, MoveFile=3.322348, UnaccountedTime=1.014467, RunGuid=RunIDBB4DBEAB46AA466235D9BFB9A83A81D8
SavePackageTransactionId35DF783A4D17CA470B8535B56A347324_8, Filename=../../../../../../GitHub/ProjectWhiteRabbit/Content/Maps/Chucks_Work_Bench.umap, AutoPackageBackupDelegate=1.964700, FlushAsyncLoading=0.004824, FlushStreamingFunc=0.113390, BlockTillAllRequestsFinished=0.004824, ResetLoadersForSaveUnMarkAllObjects=0.126053, TagPackageExports=0.113994, BeginCacheForCookedPlatformData=0.001807, SerializeImports=0.541613, GatherLocalizableTextData=0.649571, MarkNames=0.010256, SerializeSummary=0.010554, SerializeNames=0.064235, SerializeGatherableTextData=0.001505, BuildExportMap=0.035588, SortExportsNonSeekfree=0.018094, SortExportsSeekfreeConstructor=0.053376, SortExportsSeekfreeInner=4.651349, SortExportsSeekfree=0.003014, BuildDependencyMap=0.012364, SerializeImportMap=0.006936, SerializeExportMap=0.005729, SerializeDependencyMap=0.001509, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.329912, SerializeExports=0.446320, SerializeBulkData=0.004221, MoveFile=3.284048, UnaccountedTime=1.036480, RunGuid=RunIDBB4DBEAB46AA466235D9BFB9A83A81D8
SavePackageTransactionId35DF783A4D17CA470B8535B56A347324_9, Filename=../../../../../../GitHub/ProjectWhiteRabbit/Content/Maps/Chris_Work_Bench.umap, AutoPackageBackupDelegate=1.745462, FlushAsyncLoading=0.004523, FlushStreamingFunc=0.073884, BlockTillAllRequestsFinished=0.004828, ResetLoadersForSaveUnMarkAllObjects=0.136003, TagPackageExports=0.081424, BeginCacheForCookedPlatformData=0.001505, SerializeImports=0.611275, GatherLocalizableTextData=0.653490, MarkNames=0.013571, SerializeSummary=0.012968, SerializeNames=0.062425, SerializeGatherableTextData=0.001509, BuildExportMap=0.035584, SortExportsNonSeekfree=0.018094, SortExportsSeekfreeConstructor=0.050966, SortExportsSeekfreeInner=4.780717, SortExportsSeekfree=0.004828, BuildDependencyMap=0.013869, SerializeImportMap=0.007235, SerializeExportMap=0.006031, SerializeDependencyMap=0.001505, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.365499, SerializeExports=0.457171, SerializeBulkData=0.004526, MoveFile=3.278922, UnaccountedTime=1.081414, RunGuid=RunIDBB4DBEAB46AA466235D9BFB9A83A81D8
SavePackageTransactionId35DF783A4D17CA470B8535B56A347324_10, Filename=../../../../../../GitHub/ProjectWhiteRabbit/Content/Maps/Persistent_Level.umap, AutoPackageBackupDelegate=0.161033, FlushAsyncLoading=0.003923, FlushStreamingFunc=0.100117, BlockTillAllRequestsFinished=0.005130, ResetLoadersForSaveUnMarkAllObjects=0.337452, TagPackageExports=0.332627, BeginCacheForCookedPlatformData=0.002109, SerializeImports=10.326512, GatherLocalizableTextData=3.226150, MarkNames=0.030458, SerializeSummary=0.015680, SerializeNames=0.277139, SerializeGatherableTextData=0.011157, BuildExportMap=0.130881, SortExportsNonSeekfree=0.093184, SortExportsSeekfreeConstructor=0.056997, SortExportsSeekfreeInner=8.583762, SortExportsSeekfree=0.008445, BuildDependencyMap=0.049457, SerializeImportMap=0.027742, SerializeExportMap=0.016589, SerializeDependencyMap=0.003617, SerializeStringAssetReferenceMap=0.003017, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.514470, SerializeExports=1.786172, SerializeBulkData=24.097204, MoveFile=3.840439, UnaccountedTime=1.367297, RunGuid=RunIDBB4DBEAB46AA466235D9BFB9A83A81D8
